Bilesen,Marka/Model,Adet,Birim_Agirlik_g,Toplam_Agirlik_g,Boyut_mm,Tahmini_Maliyet_TL,Tedarik_Durumu,Tedarikci,Tahmini_ETA
Otopilot,Pixhawk 6C,1,40,40,85.5x42x33,13110,Bilinmiyor_IHA_Lead_Teyit_Edecek,Robotistan,3-5 is gunu
Companion,"Raspberry Pi 4 + Coral USB Accelerator",1,66,66,"RPi4:85x56 / Coral:65x30x8",10000,Bilinmiyor_IHA_Lead_Teyit_Edecek,Robotistan,3-5 is gunu
1B LiDAR (nadir raycast),Garmin LIDAR-Lite v3,1,22,22,20x48x40,10000,Bilinmiyor_IHA_Lead_Teyit_Edecek,"Robotistan / Adafruit (ithalat)","Yerli stok yoksa 10-15 is gunu (ithalat)"
Kamera,Raspberry Pi Camera Module 3 Wide,1,15,15,25x24x12.4,2240,Bilinmiyor_IHA_Lead_Teyit_Edecek,Robotistan,2-4 is gunu
GNSS,Holybro/CubePilot Here3+,1,49,49,76x76x16.6,9000,Bilinmiyor_IHA_Lead_Teyit_Edecek,"Yurtdisi ithalat (Airbot/GetFPV) - yerli distributor tespit edilmedi",10-20 is gunu (ithalat)
Motor+ESC+Pervane,"TBD - marka/model secimi Aerodinamik Lead'e bagli (BLDC, T/W>=0.20 gereksinimi)",1,TBD,TBD,TBD,15000,TBD,TBD,TBD
Parasut Sistemi,"TBD - ozel/custom tasarim (cruciform + servolu acici)",1,TBD,TBD,TBD,3000,TBD,TBD,TBD
LiPo Batarya (IHA payi),"4S 4000mAh (marka secimine bagli, temsili deger)",1,420,420,135x43x33,4000,Bilinmiyor_IHA_Lead_Teyit_Edecek,"Robotistan (ProFuse 4S 4200mAh benzeri)",1-3 is gunu
Kompozit Malzemeler,"CF+balsa+kapton+epoksi (yapisal kutle butcesinden hesaplanacak)",1,TBD,TBD,TBD,10000,TBD,TBD,TBD
